continet	country	energyuse	pop	povertyshare
Africa	Kenya		35610177	0.00
Africa	Liberia		3193942	38.60
Africa	Libya		6036914	0.00
Africa	Mauritania		3270065	6.00
Africa	Mauritius		1250882	0.00
Africa	Morocco		33757175	0.00
Africa	Mozambique		19951656	62.90
Africa	Namibia		2055080	0.00
Africa	Niger		12894865	44.50
Africa	Nigeria		135031164	0.00
Africa	Senegal		12267493	0.00
Africa	South Africa		43997828	18.90
Africa	Sudan		42292929	0.00
Africa	Tanzania		38139640	0.00
Africa	Togo		5701579	0.00
Africa	Tunisia		10276158	0.00
Americas	Argentina		40301927	0.70
Americas	Bolivia		9119152	5.80
Americas	Brazil		190010647	2.80
Americas	Canada		33390141	0.00
Americas	Chile		16284741	0.00
Americas	Colombia		44227550	5.00
Americas	Costa Rica		4133884	1.40
Americas	Cuba		11416987	0.00
Americas	Dominican Republic		9319622	2.30
Americas	Ecuador		13755680	2.60
Americas	El Salvador		6939688	3.00
Americas	Guatemala		12572928	8.70
Americas	Haiti		8502814	0.00
Americas	Honduras		7483763	15.90
Americas	Jamaica		2780132	0.00
Americas	Mexico		108700891	4.10
Americas	Nicaragua		5675356	3.20
Americas	Panama		3242173	3.50
Americas	Paraguay		6667147	2.40
Americas	Peru		28674757	3.70
Americas	Trinidad and Tobago		1056608	0.00
Americas	United States		301139947	0.00
Americas	Uruguay		3447496	0.10
Asia	Bahrain		708573	0.00
Asia	Bangladesh		150448339	0.00
Asia	Cambodia		14131858	0.00
Asia	China		1318683096	1.40
Asia	India		1110396331	0.00
Asia	Indonesia		223547000	7.90
Asia	Iran		69453570	0.20
Asia	Iraq		27499638	0.00
Asia	Israel		6426679	0.00
Asia	Japan		127467972	0.00
Asia	Jordan		6053193	0.00
Asia	Kuwait		2505559	0.00
Asia	Lebanon		3921278	0.00
Asia	Malaysia		24821286	0.00
Asia	Mongolia		2874127	0.20
Asia	Myanmar		47761980	0.00
Asia	Nepal		28901790	0.00
Asia	Oman		3204897	0.00
Asia	Pakistan		169270617	0.00
Asia	Philippines		91077287	0.00
Asia	Saudi Arabia		27601038	0.00
Asia	Singapore		4553009	0.00
Asia	Sri Lanka		20378239	0.00
Asia	Thailand		65068149	0.00
Asia	Vietnam		85262356	2.60
Europe	Albania		3600523	0.00
Europe	Austria		8199783	0.20
Europe	Belgium		10392226	0.00
Europe	Bosnia and Herzegovina		4552198	0.00
Europe	Bulgaria		7322858	1.50
Europe	Croatia		4493312	1.00
Europe	Czech Republic		10228744	0.00
Europe	Denmark		5468120	0.20
Europe	Finland		5238460	0.00
Europe	France		61083916	0.00
Europe	Germany		82400996	0.00
Europe	Greece		10706290	1.50
Europe	Hungary		9956108	0.70
Europe	Iceland		301931	0.00
Europe	Ireland		4109086	0.50
Europe	Italy		58147733	1.20
Europe	Montenegro		684736	0.00
Europe	Netherlands		16570613	0.00
Europe	Norway		4627926	0.00
Europe	Poland		38518241	0.00
Europe	Portugal		10642836	0.50
Europe	Romania		22276056	7.50
Europe	Serbia		10150265	0.00
Europe	Slovenia		2009245	0.00
Europe	Spain		40448191	0.70
Europe	Sweden		9031088	0.50
Europe	Switzerland		7554661	0.00
Europe	Turkey		71158647	0.30
Europe	United Kingdom		60776238	0.20
Oceania	Australia		20434176	0.00
Oceania	New Zealand		4115771	0.00
